trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.5, 'e': 0.18476693191217952}",20,2,26.657675610466228,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.3090227281660707}",20,3,23.58970431327463,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.7271528468448447}",25,19,9.935472898509238,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.9672505882738824}",25,0,-21.001810484854143,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9705316516498831}",25,13,1.1126898482107126,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.7361927182273159}",35,1,48.137735350797726,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.32160813176404734}",30,20,17.077408312853095,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.17171734183077755}",30,0,-0.9047997007196913,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.6230004212937645}",25,0,-13.044194614611172,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.5, 'e': 0.9217512697247493}",20,1,25.149600324579417,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.9948252601277343}",25,9,22.26450998883079,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.8243313311075577}",25,15,16.72505289695446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.45201234267200896}",20,2,26.214140014630484,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.030975031731216456}",25,1,33.57642983861468,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.506378638074642}",25,11,18.943503013768076,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.8578030932449878}",30,17,18.1265680928174,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.9992074342602034}",25,5,31.51483675915441,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.8959709467909631}",25,9,-12.594142401245513,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.5733695234681091}",30,19,15.932310757306738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.11038724383904756}",20,0,-25.71791196547608,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.37962168297153187}",30,12,22.629762108366418,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.7766859820216312}",25,0,12.219383401316755,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.9835904648022342}",20,6,22.468932403432845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.9496776978825432}",30,17,21.256567865990576,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
